@relation factors-affecting-sensex

@attribute gdp numeric
@attribute iip numeric
@attribute mnth_infla numeric
@attribute bank_rate numeric
@attribute FII_Equity numeric
@attribute FII_Debt numeric
@attribute class_sensex_change numeric

@data
7,125,0,6.75,-504.54,-2601.07,94.89
7,123,-0.33,6.75,2299.61,5804.98,-328.36
7.1,126.4,0,6.75,10563.51,2262.77,1543.67
7.1,132.8,0.33,6.75,-27622.96,-10019.22,-1832.2
7.1,128.6,0,6.75,-9622.83,-10527.94,-2688.77
8.2,128,0,6.75,-2028.81,2366.77,1001.2
8.2,125.7,3.44,6.75,490.67,178.22,2061.36
8.2,127.7,0.69,6.5,-1899.55,-10005.65,49.5
7.7,129.6,0.35,6.5,-4977.3,-17543.09,-6.53
7.7,122.6,0.35,6.5,-6467.9,-11868.3,2129.49
7.7,140.3,0,6.5,13372.4,-7297.82,-1172.54
7.2,127.4,-0.35,6.5,-12491.36,-2771.36,-1864.95
7.2,132.3,0.7,6.5,13383.76,8931.55,1905.03
7.2,130.6,-0.69,6.5,-4747.22,2463.28,809.17
6.3,125.8,0.35,6.5,19179.91,-1426.4,-194.88
6.3,122.5,0.7,6.5,1922.57,17960.72,1675.32
6.3,123.1,0,6.5,-10758.87,992.17,-485.62
5.7,122.1,0,6.25,-12631.74,15006.22,-849.31
5.7,118,1.79,6.25,1882.03,17041.87,1358.9
5.7,119.3,0.72,6.25,4028.23,24796.34,-195.48
6.1,124.8,0.36,6.25,9956.78,20197.92,1124.31
6.1,117.3,0.73,6.5,-2208.61,19401.11,180.67
6.1,133.2,0.36,6.5,33781.93,26093.88,771.46
7,119.2,0,6.5,10485.18,5980.19,1074.24
7,123.1,-0.36,6.5,-1009.3,-3757.43,944.81
7,121.7,-0.72,6.5,-8494.77,-18902.53,-130.2
7.3,115.9,-0.36,6.5,-17736.95,-19603.06,-1313.37
7.3,120.3,0.36,6.5,-4990.12,-7151.88,-67.08
7.3,118.2,-0.36,6.75,9336.4,10577.04,-593.13
7.1,116.5,-0.71,6.75,9785.56,-2949.07,369.09
7.1,116.8,1.08,6.75,11130.19,7382.28,987.53
7.1,119.7,0.73,6.75,5174.8,-6505.58,315.26
7.9,121.3,1.48,6.75,2578.64,-5171.38,1102.52
7.9,113.7,1.12,7,3654.5,2948.39,304.92
7.9,127.6,0.37,7,23620.63,4547.64,2188.54
7.3,117.8,-0.74,7,-7987.49,-8324.2,-1980.22
7.3,118.9,0,7,-10968.89,10741,-1230.81
