Date	Price	Open	High	Low	Vol.	Change %
01-Jan-18	"33,812.75"	"34,059.99"	"34,101.13"	"33,766.15"	7.74K	-0.72%
02-Jan-18	"33,812.26"	"33,913.55"	"33,964.14"	"33,703.37"	10.95K	0.00%
03-Jan-18	"33,793.38"	"33,929.61"	"33,998.37"	"33,765.43"	9.33K	-0.06%
04-Jan-18	"33,969.64"	"33,912.49"	"33,995.40"	"33,802.13"	10.82K	0.52%
05-Jan-18	"34,153.85"	"34,021.27"	"34,188.85"	"34,020.84"	15.20K	0.54%
08-Jan-18	"34,352.79"	"34,216.33"	"34,385.67"	"34,216.33"	13.90K	0.58%
09-Jan-18	"34,443.19"	"34,431.61"	"34,488.03"	"34,343.41"	11.48K	0.26%
10-Jan-18	"34,433.07"	"34,538.78"	"34,565.63"	"34,311.63"	8.75K	-0.03%
11-Jan-18	"34,503.49"	"34,471.48"	"34,558.88"	"34,400.61"	8.25K	0.20%
12-Jan-18	"34,592.39"	"34,578.99"	"34,638.42"	"34,342.16"	8.02K	0.26%
15-Jan-18	"34,843.51"	"34,687.21"	"34,963.69"	"34,687.21"	15.00K	0.73%
16-Jan-18	"34,771.05"	"34,877.71"	"34,936.03"	"34,735.55"	55.31K	-0.21%
17-Jan-18	"35,081.82"	"34,753.80"	"35,118.61"	"34,700.82"	36.09K	0.89%
18-Jan-18	"35,260.29"	"35,366.45"	"35,507.36"	"35,166.44"	16.17K	0.51%
19-Jan-18	"35,511.58"	"35,339.11"	"35,542.17"	"35,221.16"	36.30K	0.71%
22-Jan-18	"35,798.01"	"35,613.97"	"35,827.70"	"35,544.68"	14.14K	0.81%
23-Jan-18	"36,139.98"	"35,868.19"	"36,170.83"	"35,863.98"	27.82K	0.96%
24-Jan-18	"36,161.64"	"36,161.62"	"36,268.19"	"36,036.51"	26.04K	0.06%
25-Jan-18	"36,050.44"	"36,208.39"	"36,247.02"	"35,823.35"	15.62K	-0.31%
29-Jan-18	"36,283.25"	"36,106.36"	"36,443.98"	"36,093.36"	17.38K	0.65%
30-Jan-18	"36,033.73"	"36,277.12"	"36,291.82"	"35,993.41"	18.70K	-0.69%
31-Jan-18	"35,965.02"	"35,951.64"	"36,050.69"	"35,818.41"	11.26K	-0.19%
01-Feb-18	"35,906.66"	"36,048.99"	"36,256.83"	"35,501.74"	26.01K	-0.16%
02-Feb-18	"35,066.75"	"35,707.60"	"35,738.13"	"35,006.41"	18.60K	-2.34%
05-Feb-18	"34,757.16"	"34,718.85"	"34,874.17"	"34,520.80"	24.17K	-0.88%
06-Feb-18	"34,195.94"	"33,753.78"	"34,521.01"	"33,482.81"	23.58K	-1.61%
07-Feb-18	"34,082.71"	"34,563.30"	"34,666.33"	"34,008.42"	13.52K	-0.33%
08-Feb-18	"34,413.16"	"34,208.11"	"34,634.35"	"34,108.76"	36.78K	0.97%
09-Feb-18	"34,005.76"	"34,002.45"	"34,070.73"	"33,849.65"	15.73K	-1.18%
12-Feb-18	"34,300.47"	"34,203.34"	"34,351.34"	"34,115.12"	16.04K	0.87%
14-Feb-18	"34,155.95"	"34,436.98"	"34,473.43"	"34,028.68"	21.80K	-0.42%
15-Feb-18	"34,297.47"	"34,207.57"	"34,535.08"	"34,186.01"	13.42K	0.41%
16-Feb-18	"34,010.76"	"34,411.24"	"34,508.24"	"33,957.33"	18.61K	-0.84%
19-Feb-18	"33,774.66"	"34,053.95"	"34,122.96"	"33,554.37"	18.58K	-0.69%
20-Feb-18	"33,703.59"	"33,913.94"	"33,960.95"	"33,657.89"	19.76K	-0.21%
21-Feb-18	"33,844.86"	"33,813.83"	"33,911.36"	"33,702.50"	18.16K	0.42%
22-Feb-18	"33,819.50"	"33,817.09"	"33,868.74"	"33,691.42"	12.20K	-0.07%
23-Feb-18	"34,142.15"	"33,832.00"	"34,167.60"	"33,832.00"	22.35K	0.95%
26-Feb-18	"34,445.75"	"34,225.72"	"34,483.39"	"34,225.72"	8.67K	0.89%
27-Feb-18	"34,346.39"	"34,558.56"	"34,610.79"	"34,314.87"	13.10K	-0.29%
28-Feb-18	"34,184.04"	"34,155.63"	"34,302.74"	"34,076.45"	12.37K	-0.47%
01-Mar-18	"34,046.94"	"34,141.22"	"34,278.63"	"34,015.79"	11.61K	-0.40%
05-Mar-18	"33,746.78"	"34,034.28"	"34,034.28"	"33,653.41"	17.40K	-0.88%
06-Mar-18	"33,317.20"	"34,047.43"	"34,060.13"	"33,209.76"	12.25K	-1.27%
07-Mar-18	"33,033.09"	"33,279.39"	"33,331.21"	"32,991.14"	11.05K	-0.85%
08-Mar-18	"33,351.57"	"33,244.52"	"33,439.97"	"33,037.48"	16.01K	0.96%
09-Mar-18	"33,307.14"	"33,465.05"	"33,519.49"	"33,256.42"	8.46K	-0.13%
